Image#,Crib#,Class 1 Value,Class 2 Value,Classification
47076,17981,8.482735,-9.395562,0
47077,17982,3.125292,-0.608455,0
47077,17983,4.489274,-4.938461,0
47078,17984,6.502300,-6.873696,0
47078,17985,6.124003,-6.711578,0
47079,17986,8.895921,-9.891615,0
47079,17987,5.738278,-6.206690,0
47080,17988,3.140136,-1.162956,0
47080,17989,4.363639,-4.561305,0
47081,17990,5.039098,-4.855232,0
47081,17991,5.837676,-6.234632,0
47081,17992,3.173654,-1.275580,0
47082,17993,6.325101,-6.951861,0
47082,17994,5.075581,-5.556748,0
47083,17995,4.985596,-3.987281,0
47083,17996,7.597878,-8.471605,0
47084,17997,6.403536,-6.986723,0
47084,17998,6.099503,-6.660544,0
47085,17999,6.935019,-7.451826,0
47085,18000,6.317140,-6.967328,0
47086,18001,8.244819,-9.139083,0
47086,18002,6.674934,-7.387694,0
47087,18003,4.534356,-4.371154,0
47087,18004,6.418031,-7.114183,0
47088,18005,7.413419,-8.218946,0
47088,18006,7.295527,-8.072757,0
47089,18007,6.616731,-7.191056,0
47089,18008,5.912960,-6.581718,0
47089,18009,4.602149,-3.829102,0
47089,18010,6.569965,-7.120814,0
47090,18011,5.179858,-5.551297,0
47091,18012,6.830202,-7.621470,0
47091,18013,5.729131,-6.290716,0
47091,18014,7.509544,-8.266190,0
47092,18015,6.602305,-7.328892,0
47092,18016,10.243673,-11.414122,0
47093,18017,6.797877,-7.501197,0
47093,18018,5.109136,-5.563520,0
47094,18019,5.871929,-6.283123,0
47094,18020,8.500872,-9.525822,0
47095,18021,3.415867,-0.761432,0
47095,18022,9.207590,-10.125404,0
47096,18023,7.382041,-8.263365,0
47096,18024,6.652394,-7.320735,0
47097,18025,3.446069,-2.560664,0
47097,18026,4.090817,-4.207100,0
47098,18027,4.039856,-4.048984,0
47098,18028,4.000790,-3.516714,0
47098,18029,3.011498,-1.374811,0
47099,18030,5.262943,-5.786160,0
47099,18031,7.449475,-8.268224,0
47100,18032,3.256467,-2.081079,0
47100,18033,5.210425,-5.726067,0
47101,18034,5.221274,-4.567714,0
47101,18035,7.304768,-8.143518,0
47102,18036,4.817115,-5.183883,0
47102,18037,7.357593,-8.210225,0
47102,18038,7.542917,-8.108392,0
47103,18039,7.351057,-8.156132,0
47103,18040,6.736189,-7.152086,0
47104,18041,7.532128,-8.364624,0
47104,18042,7.490099,-8.274750,0
47104,18043,4.637797,-4.578781,0
47105,18044,8.396986,-9.408730,0
47105,18045,7.715956,-8.490777,0
47106,18046,5.805777,-6.385154,0
47106,18047,4.095674,-2.441555,0
47106,18048,6.449491,-7.061228,0
47107,18049,7.280334,-8.084061,0
47107,18050,5.491486,-4.437409,0
47108,18051,4.396618,-4.003307,0
47108,18052,6.131772,-6.697311,0
47109,18053,4.251647,-3.125293,0
47109,18054,6.388411,-6.931726,0
47110,18055,6.184947,-6.583120,0
47110,18056,5.693054,-5.814182,0
47111,18057,4.033289,-3.433216,0
47111,18058,2.919941,1.803479,0
47112,18059,7.902281,-8.816870,0
47112,18060,9.140542,-10.176995,0
47113,18061,6.356634,-6.872876,0
47113,18062,5.253720,-5.156308,0
47113,18063,6.955516,-7.763141,0
47113,18064,5.053606,-3.692507,0
47114,18065,4.584082,-5.019120,0
47114,18066,4.753685,-4.357903,0
47115,18067,4.853547,-3.964652,0
47115,18068,6.033689,-6.729922,0
47116,18069,4.261820,-3.346469,0
47116,18070,5.409102,-5.984173,0
47117,18071,7.633097,-8.463773,0
47117,18072,5.624557,-6.144565,0
47118,18073,5.339755,-5.920851,0
47118,18074,7.108023,-7.899687,0
47119,18075,6.613692,-7.403955,0
47119,18076,6.560189,-7.274182,0
47120,18077,4.582345,-4.946135,0
47120,18078,6.993997,-7.759390,0
47121,18079,5.475358,-6.090655,0
47121,18080,6.394765,-7.021650,0
47121,18081,7.876089,-8.711493,0
47122,18082,5.359004,-5.802950,0
47122,18083,5.398401,-5.161856,0
47123,18084,7.451982,-8.228803,0
47123,18085,6.631265,-7.390392,0
47124,18086,7.130765,-7.842514,0
47124,18087,7.000208,-7.762046,0
47125,18088,8.412583,-9.338470,0
47125,18089,7.457334,-8.277919,0
47126,18090,5.990674,-6.679769,0
47126,18091,4.885487,-5.099198,0
47127,18092,7.192279,-7.916247,0
47127,18093,5.428473,-5.740747,0
47128,18094,6.119778,-6.807389,0
