Image#,Crib#,Row,Column,Class 1 Value,Class 2 Value,Classification
8019,33,0,3,5.128415,-4.052351,0
8019,33,1,0,5.253550,-4.203758,0
8019,33,1,1,4.837060,-3.616789,0
8019,33,1,2,-1.066817,-0.687282,1
8019,33,1,3,0.684795,-0.910272,0
8019,33,2,0,-5.131260,3.274788,1
8019,33,2,1,-0.010645,0.162703,0
8019,33,2,2,3.748897,-4.017540,0
8019,33,2,3,-3.849887,2.332995,1
8019,33,3,0,3.442429,-2.991229,0
8019,33,3,1,6.079919,-4.546768,0
8019,33,3,2,4.475821,-3.747497,0
8019,33,3,3,-2.301177,1.760145,1
8020,34,0,0,-2.110147,1.109578,1
8020,34,0,1,2.906979,-3.200642,0
8020,34,0,2,3.439312,-3.486137,0
8020,34,0,3,-1.342841,-0.406579,1
8021,35,0,0,1.470142,-1.291267,0
8021,35,0,1,6.302144,-5.113848,0
8021,35,0,2,-0.456352,-1.510516,0
8021,35,0,3,7.794877,-6.449456,0
8021,36,0,0,-4.148418,2.132285,1
8021,36,0,1,2.218620,-2.150839,0
8021,36,0,2,7.931407,-6.998447,0
8021,36,0,3,3.296360,-3.195135,0
8022,37,0,0,-3.789502,2.876824,1
8022,37,0,1,3.107447,-2.158472,0
8022,37,0,2,6.588818,-5.195037,0
8022,37,0,3,-1.408147,0.277412,1
8022,38,0,0,-0.936446,0.142546,0
8022,38,0,1,-3.499428,1.746946,1
8022,38,0,2,4.910242,-3.935800,0
8022,38,0,3,-4.585806,2.863744,1
8023,39,0,0,1.003155,-1.292222,0
8023,39,0,1,1.613956,-2.119565,0
8023,39,0,2,-3.973422,2.902584,1
8023,39,0,3,8.277400,-6.041047,0
8023,40,0,0,3.497961,-3.234088,0
8023,40,0,1,3.604364,-2.619671,0
8023,40,0,2,4.351194,-3.765952,0
8023,40,0,3,-3.931769,2.482276,1
8023,40,1,0,2.588777,-2.304256,0
8023,40,1,1,-2.407896,1.293265,1
8023,40,1,2,-0.887683,0.417914,0
8023,40,1,3,1.429538,-1.856098,0
8024,41,0,0,0.845859,-0.667885,0
8024,41,0,1,2.187179,-1.682544,0
8024,41,0,2,3.667012,-3.931403,0
8024,41,0,3,2.679183,-2.941242,0
8024,42,0,0,0.228981,-0.215726,0
8024,42,0,1,-4.256713,2.311237,1
8024,42,0,2,1.553845,-2.087873,0
8024,42,0,3,3.438502,-1.928116,0
8025,43,0,0,-0.071380,-0.384700,0
8025,43,0,1,-0.806277,-0.462149,0
8025,43,0,2,4.181006,-4.368855,0
8025,43,0,3,2.485817,-2.759101,0
8025,44,0,0,-1.771314,0.773323,1
8025,44,0,1,7.564788,-5.615249,0
8025,44,0,2,-3.660150,2.806142,1
8025,44,0,3,-1.730762,0.512223,1
8026,45,0,0,3.648701,-2.914858,0
8026,45,0,1,2.825339,-2.651020,0
8026,45,0,2,4.914447,-3.725600,0
8026,45,0,3,-1.133146,0.858263,1
8026,46,0,0,-6.144609,3.913074,1
8026,46,0,1,2.904616,-2.503427,0
8026,46,0,2,4.349766,-4.041915,0
8026,46,0,3,-1.988900,0.941852,1
8026,46,1,0,3.131105,-3.067473,0
8026,46,1,1,2.937587,-2.710349,0
8026,46,1,2,-4.494267,2.613336,1
8026,46,1,3,4.262295,-3.850405,0
8027,47,0,0,5.034274,-4.100996,0
8027,47,0,1,-8.750747,5.919172,1
8027,47,0,2,7.390292,-5.834713,0
8027,47,0,3,8.436553,-6.660344,0
8027,47,1,0,2.666834,-2.527043,0
8027,47,1,1,0.393833,-1.328874,0
8027,47,1,2,-0.781724,-0.157729,0
8027,47,1,3,1.716740,-1.674234,0
8027,48,0,0,-7.212626,4.331869,1
8027,48,0,1,-5.696002,3.917387,1
8027,48,0,2,1.845863,-1.960701,0
8027,48,0,3,5.721865,-4.782412,0
8028,49,0,0,0.461599,-1.011309,0
8028,49,0,1,6.365779,-5.006673,0
8028,49,0,2,4.005900,-3.862622,0
8028,49,0,3,3.608811,-2.825234,0
8028,50,0,0,6.072930,-4.692073,0
8028,50,0,1,1.310897,-1.544630,0
8028,50,0,2,-5.883582,3.761352,1
8028,50,0,3,-6.178907,3.817541,1
8029,51,0,0,3.553071,-3.598115,0
8029,51,0,1,5.362927,-4.444569,0
8029,51,0,2,-4.004107,2.375477,1
8029,51,0,3,3.531245,-2.927472,0
8029,52,0,0,-1.224887,0.662801,1
8029,52,0,1,1.807609,-1.828937,0
8029,52,0,2,5.947038,-4.881054,0
8029,52,0,3,2.535596,-2.046084,0
8029,52,1,0,2.993514,-2.199536,0
8029,52,1,1,-1.056544,0.368670,1
8029,52,1,2,-3.129203,2.005240,1
8029,52,1,3,2.004726,-1.973721,0
8030,53,0,0,-1.216362,0.737529,1
8030,53,0,1,0.824181,-1.145540,0
8030,53,0,2,4.555701,-3.954637,0
8030,53,0,3,5.880149,-4.921947,0
8030,54,0,0,-1.561254,0.711942,1
8030,54,0,1,2.827547,-2.827941,0
8030,54,0,2,-0.369770,-0.042742,0
8030,54,0,3,2.392162,-1.626247,0
8031,55,0,0,0.862809,-1.030550,0
8031,55,0,1,-4.299222,2.217825,1
8031,55,0,2,2.503726,-2.830029,0
8031,55,0,3,7.657167,-6.095643,0
8031,56,0,0,1.960360,-2.394175,0
8031,56,0,1,3.725199,-2.844817,0
8031,56,0,2,4.901789,-3.753438,0
8031,56,0,3,2.772503,-1.878347,0
8031,56,1,0,-1.588011,0.776279,1
8031,56,1,1,4.181789,-3.404553,0
8031,56,1,2,3.840512,-3.044665,0
8031,56,1,3,0.260992,-0.829470,0
8032,57,0,0,3.415963,-2.578521,0
8032,57,0,1,0.218249,-0.369644,0
8032,57,0,2,-4.463983,2.979345,1
8032,57,0,3,1.955449,-1.786400,0
8032,57,1,0,3.062353,-3.498261,0
8032,57,1,1,1.950129,-2.453655,0
8032,57,1,2,-3.327661,1.890818,1
8032,57,1,3,3.401722,-2.572154,0
8032,57,2,0,1.025694,-0.882269,0
8032,57,2,1,-6.039199,4.185578,1
8032,57,2,2,4.056577,-3.446316,0
8032,57,2,3,-6.940771,4.728374,1
8032,57,3,0,-2.440514,1.577683,1
8032,57,3,1,0.308401,-0.591904,0
8032,57,3,2,5.262733,-4.234193,0
8032,57,3,3,0.413557,-0.274938,0
8032,57,4,0,4.723879,-4.094869,0
8032,57,4,1,-6.201394,4.498233,1
8032,57,4,2,3.493379,-2.659016,0
8032,57,4,3,4.769193,-3.407968,0
8033,58,0,0,1.522603,-1.963698,0
8033,58,0,1,2.681362,-2.145925,0
8033,58,0,2,-5.220685,2.726632,1
8033,58,0,3,-3.517380,1.785011,1
8033,59,0,0,-6.566745,4.748916,1
8033,59,0,1,3.772045,-3.236516,0
8033,59,0,2,2.516486,-2.089246,0
8033,59,0,3,-2.419410,1.272041,1
8034,60,0,0,3.598241,-2.673814,0
8034,60,0,1,4.855610,-3.668057,0
8034,60,0,2,-0.613358,-0.246046,0
8034,60,0,3,1.379447,-1.232970,0
8034,60,1,0,-3.725480,2.070494,1
8034,60,1,1,1.189486,-0.782908,0
8034,60,1,2,3.066629,-2.999496,0
8034,60,1,3,1.696539,-2.154253,0
8034,60,2,0,-5.318670,3.540048,1
8034,60,2,1,-4.444300,3.054592,1
8034,60,2,2,-5.714047,3.187288,1
8034,60,2,3,0.268944,-0.903265,0
8034,60,3,0,1.868852,-2.271569,0
8034,60,3,1,3.601623,-3.114257,0
8034,60,3,2,-0.229422,0.187805,0
8034,60,3,3,2.414851,-1.542699,0
8034,60,4,0,-3.607355,2.065843,1
8034,60,4,1,-0.891882,0.265982,0
8034,60,4,2,-8.050182,5.647758,1
8034,60,4,3,-3.126305,2.366738,1
8034,60,5,0,-4.811617,3.538957,1
8034,60,5,1,-4.527241,3.174320,1
8034,60,5,2,-7.028847,4.950774,1
8034,60,5,3,1.938047,-1.244658,0
8034,60,6,0,3.103592,-3.514887,0
8034,60,6,1,3.545839,-2.798509,0
8034,60,6,2,2.497259,-2.396749,0
8034,60,6,3,-0.762877,-0.135883,0
8035,61,0,0,-0.739367,0.308099,0
8035,61,0,1,-2.499570,1.038630,1
8035,61,0,2,2.001447,-1.335812,0
8035,61,0,3,-0.182811,-0.244406,0
8036,62,0,0,-1.465321,0.344404,1
8036,62,0,1,3.247056,-2.530049,0
8036,62,0,2,0.797437,-0.454661,0
8036,62,0,3,0.604631,-0.727053,0
8036,63,0,0,2.064738,-2.111578,0
8036,63,0,1,-5.303265,3.051651,1
8036,63,0,2,-1.010513,0.747221,1
