Image#,Crib#,Class 1 Value,Class 2 Value,Classification
60344,15917,1.399838,-3.585496,0
60344,15918,2.432471,-4.829036,0
60345,15919,-2.167996,-0.396245,1
60345,15920,3.507299,-6.595977,0
60346,15921,2.124127,-4.409050,0
60346,15922,2.372660,-5.083455,0
60347,15923,4.078096,-7.765762,0
60347,15924,2.761237,-5.336055,0
60348,15925,3.515880,-6.747423,0
60348,15926,0.177185,-2.561341,0
60349,15927,-0.577496,-1.586475,0
60349,15928,-1.501855,-0.780130,1
60350,15929,-2.696189,0.647957,1
60350,15930,2.106334,-4.410317,0
60351,15931,-2.348310,-0.541023,1
60351,15932,0.567744,-3.298683,0
60352,15933,-7.236962,4.641884,1
60352,15934,1.682912,-3.891798,0
60353,15935,2.967457,-5.603606,0
60353,15936,4.546650,-8.676683,0
60354,15937,-0.769106,-1.840585,0
60354,15938,2.142516,-4.852116,0
60355,15939,1.474254,-4.052538,0
60355,15940,0.565611,-2.996281,0
60356,15941,4.053442,-7.637511,0
60357,15942,-2.422907,-0.140593,1
60357,15943,-7.556756,4.580835,1
60358,15944,-2.036744,-0.593336,1
60358,15945,2.252884,-5.168528,0
60359,15946,3.029242,-5.735707,0
60359,15947,-2.461974,0.254470,1
60360,15948,-1.423526,-1.649866,1
60360,15949,3.998397,-7.453247,0
60361,15950,3.187939,-5.950690,0
60361,15951,2.302171,-4.780626,0
60362,15952,1.168441,-3.427271,0
60362,15953,2.822677,-5.817022,0
60363,15954,0.881650,-3.075529,0
60364,15955,4.408587,-8.291780,0
60364,15956,-1.655684,-0.850919,1
60365,15957,0.694132,-3.181208,0
60365,15958,-6.012440,3.241143,1
60366,15959,-1.001529,-1.277832,1
60366,15960,2.198386,-4.922970,0
60367,15961,-2.090626,0.091479,1
60367,15962,3.241260,-6.162169,0
60368,15963,4.196485,-7.834713,0
60368,15964,-8.183373,5.225925,1
60369,15965,0.230992,-3.213376,0
60369,15966,1.630585,-3.915730,0
60370,15967,3.223805,-6.152825,0
60370,15968,-0.152356,-2.383986,0
60371,15969,-0.690781,-1.556656,0
60371,15970,-1.115299,-1.388470,1
60372,15971,2.306907,-4.895046,0
60373,15972,-5.047328,2.029369,1
60373,15973,-6.425056,3.411526,1
60374,15974,1.463074,-4.127767,0
60374,15975,-0.501162,-2.059610,0
60375,15976,-5.986899,3.076690,1
60375,15977,-1.541768,-0.731335,1
60376,15978,-1.521275,-0.724856,1
60376,15979,0.368196,-2.908671,0
60377,15980,-2.569120,-0.169179,1
60377,15981,3.550463,-6.672103,0
60378,15982,0.547584,-2.840658,0
60378,15983,2.776156,-5.571811,0
60379,15984,0.916246,-3.349515,0
60379,15985,-7.403513,4.595828,1
60380,15986,-5.864511,2.936862,1
60381,15987,3.061480,-5.888076,0
60381,15988,-1.587497,-1.126779,1
60382,15989,-2.633040,0.362940,1
60382,15990,-1.321799,-0.879294,1
60383,15991,2.169774,-4.785279,0
60383,15992,0.792166,-2.901314,0
60384,15993,-7.788366,4.843589,1
60384,15994,1.310961,-4.238200,0
60385,15995,-4.240335,1.519388,1
60385,15996,0.067465,-2.834512,0
60386,15997,-6.331002,3.802769,1
60386,15998,3.805350,-7.277412,0
60387,15999,3.589918,-6.654795,0
60388,16000,0.320145,-3.023314,0
60388,16001,3.361211,-6.400478,0
60389,16002,3.376950,-6.235869,0
60389,16003,2.580537,-5.245913,0
60390,16004,4.401174,-8.257425,0
60390,16005,4.431027,-8.400043,0
60391,16006,-2.648531,-0.355337,1
60391,16007,-5.719182,2.764109,1
60392,16008,0.486757,-2.628974,0
60392,16009,-1.311730,-0.799775,1
60393,16010,2.967118,-5.712348,0
60393,16011,-8.600227,5.372294,1
60394,16012,-5.364981,2.195141,1
60394,16013,-8.673984,5.536487,1
60395,16014,-4.804355,2.368729,1
60396,16015,-0.274405,-2.563445,0
60396,16016,-7.105954,4.531981,1
60397,16017,-6.050640,3.500991,1
60397,16018,0.391503,-2.533067,0
60398,16019,-6.124949,3.614497,1
60398,16020,-2.267417,-0.549617,1
60399,16021,-1.419855,-0.625413,1
60399,16022,-1.713694,-1.130128,1
60400,16023,-0.120401,-2.212177,0
60400,16024,-6.978377,4.234224,1
60401,16025,-3.582209,0.693878,1
60401,16026,3.888215,-7.250273,0
60402,16027,2.775075,-5.327267,0
60402,16028,0.903095,-3.244423,0
60403,16029,1.119662,-3.427357,0
60403,16030,0.135952,-2.197439,0
60404,16031,2.963959,-5.892148,0
60404,16032,-2.750337,0.526483,1
60405,16033,-2.350691,-0.394061,1
60405,16034,-1.176504,-1.151625,1
60406,16035,1.345827,-3.554864,0
60407,16036,4.043426,-7.401124,0
60407,16037,-1.537030,-0.536516,1
60408,16038,-1.795216,-0.573697,1
